 year , adminClass , economicClass , budgetPhase , sum ,
nom,nom,nom,nom,target,
 2015 , 45 , 6241 , approved , 0.0 ,
 2015 , 10 , 6461 , executed , -218.69 ,
 2015 , 35 , 6661 , revised , 0.0 ,
 2015 , 70 , 6321 , approved , 0.0 ,
 2013 , 20 , 6482 , approved , 0.0 ,
 2014 , 70 , 6322 , approved , 0.0 ,
 2013 , 50 , 7323 , approved , 0.0 ,
 2013 , 70 , 6261 , executed , 0.0 ,
 2015 , 70 , 6263 , executed , 0.0 ,
 2014 , 70 , 6262 , executed , 0.0 ,
 2013 , 45 , 6693 , revised , 0.0 ,
 2014 , 50 , 7322 , approved , 0.0 ,
 2015 , 50 , 7321 , approved , 0.0 ,
 2015 , 40 , 6691 , revised , 0.0 ,
 2013 , 00 , 6481 , reserved , 0.0 ,
 2013 , 25 , 6021 , reserved , 0.0 ,
 2015 , 20 , 6671 , revised , 63000.0 ,
 2014 , 35 , 6661 , revised , 0.0 ,
 2014 , 10 , 6461 , executed , 0.0 ,
 2014 , 70 , 6321 , approved , 0.0 ,
 2015 , 70 , 6322 , approved , 0.0 ,
 2013 , 50 , 7135 , executed , 0.0 ,
 2014 , 70 , 6263 , executed , 0.0 ,
 2013 , 50 , 7324 , approved , 0.0 ,
 2015 , 70 , 6262 , executed , 0.0 ,
 2013 , 20 , 6483 , approved , 0.0 ,
 2013 , 45 , 6692 , revised , 0.0 ,
 2014 , 50 , 7321 , approved , 0.0 ,
 2015 , 50 , 7322 , approved , 0.0 ,
 2013 , 45 , 6241 , approved , 0.0 ,
 2014 , 40 , 6691 , revised , 0.0 ,
 2014 , 20 , 6671 , revised , 60000.0 ,
 2014 , 50 , 6255 , approved , 0.0 ,
 2014 , 10 , 6462 , executed , 335.79 ,
 2015 , 50 , 6254 , approved , 0.0 ,
 2014 , 40 , 6241 , approved , 0.0 ,
 2015 , 10 , 6463 , executed , 0.0 ,
 2013 , 45 , 6691 , revised , 0.0 ,
 2013 , 50 , 7325 , approved , 0.0 ,
 2014 , 50 , 7131 , executed , 0.0 ,
 2015 , 70 , 6265 , executed , 0.0 ,
 2015 , 25 , 6411 , revised , 0.0 ,
 2013 , 50 , 7134 , executed , 0.0 ,
 2014 , 70 , 6264 , executed , 0.0 ,
 2014 , 10 , 6162 , approved , 11573.0 ,
 2013 , 25 , 6413 , revised , 0.0 ,
 2015 , 50 , 7132 , executed , 0.0 ,
 2015 , 10 , 6161 , approved , 0.0 ,
 2013 , 30 , 6661 , revised , 5000.0 ,
 2013 , 25 , 6414 , revised , 0.0 ,
 2015 , 15 , 6635 , draft , 0.0 ,
 2014 , 40 , 6692 , revised , 0.0 ,
 2015 , 40 , 6693 , revised , 0.0 ,
 2014 , 20 , 6672 , revised , 2000.0 ,
 2015 , 20 , 6673 , revised , 0.0 ,
 2014 , 50 , 6254 , approved , 0.0 ,
 2015 , 10 , 6462 , executed , 1933.56 ,
 2015 , 50 , 6255 , approved , 0.0 ,
 2014 , 10 , 6463 , executed , 0.0 ,
 2015 , 40 , 6241 , approved , 0.0 ,
 2013 , 50 , 7133 , executed , 0.0 ,
 2013 , 20 , 6481 , approved , 0.0 ,
